Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group5_20-80,conf_12,11,320.331,128.697
32,Group5_20-80,conf_12,13,267.939,83.297
32,Group5_20-80,conf_13,5,295.128,131.593
32,Group5_20-80,conf_13,11,320.437,128.521
32,Group5_20-80,conf_13,13,267.93,83.232
32,Group5_20-80,conf_14,5,295.114,131.585
32,Group5_20-80,conf_14,11,320.427,128.569
32,Group5_20-80,conf_14,13,267.93,83.24
32,Group5_20-80,conf_15,5,294.627,139.594
32,Group5_20-80,conf_15,11,320.293,129.049
32,Group5_20-80,conf_15,13,267.814,83.34
32,Group5_20-80,conf_16,5,294.605,139.675
32,Group5_20-80,conf_16,11,320.221,129.154
32,Group5_20-80,conf_16,13,267.81,83.325
32,Group5_20-80,conf_17,5,296.151,131.201
32,Group5_20-80,conf_17,11,318.292,120.124
32,Group5_20-80,conf_17,13,267.679,83.086
32,Group5_20-80,conf_18,5,294.688,139.712
32,Group5_20-80,conf_18,11,320.399,128.886
32,Group5_20-80,conf_18,13,267.839,83.367
32,Group5_20-80,conf_19,5,296.124,131.333
32,Group5_20-80,conf_19,11,318.208,120.106
32,Group5_20-80,conf_19,13,267.696,83.081
32,Group5_20-80,conf_20,5,295.594,139.112
32,Group5_20-80,conf_20,11,318.124,120.409
32,Group5_20-80,conf_20,13,267.567,83.163
32,Group5_20-80,conf_21,5,294.77,132.413
32,Group5_20-80,conf_21,11,320.648,128.145
32,Group5_20-80,conf_21,13,267.391,83.335
32,Group5_20-80,conf_22,5,294.586,139.826
32,Group5_20-80,conf_22,11,320.302,129.111
32,Group5_20-80,conf_22,13,267.827,83.388
32,Group5_20-80,conf_23,5,294.708,139.604
32,Group5_20-80,conf_23,11,320.39,128.839
32,Group5_20-80,conf_23,13,267.817,83.344
32,Group5_20-80,conf_24,5,294.762,132.508
32,Group5_20-80,conf_24,11,320.62,128.173
32,Group5_20-80,conf_24,13,267.36,83.24
32,Group5_20-80,conf_25,5,294.585,132.718
32,Group5_20-80,conf_25,11,320.554,128.072
32,Group5_20-80,conf_25,13,267.298,83.284
32,Group5_20-80,conf_27,5,294.789,133.942
32,Group5_20-80,conf_27,11,320.885,127.578
32,Group5_20-80,conf_27,13,267.733,82.806
32,Group5_20-80,conf_28,5,294.828,133.831
32,Group5_20-80,conf_28,11,320.893,127.725
32,Group5_20-80,conf_28,13,267.801,82.818
32,Group6_100Org,conf_01,5,294.799,135.155
32,Group6_100Org,conf_01,11,319.99,129.504
32,Group6_100Org,conf_01,13,267.351,84.014
32,Group6_100Org,conf_02,5,294.746,133.726
32,Group6_100Org,conf_02,11,320.096,128.943
32,Group6_100Org,conf_02,13,267.399,83.936
32,Group6_100Org,conf_03,5,295.117,131.521
32,Group6_100Org,conf_03,11,320.5,128.385
32,Group6_100Org,conf_03,13,267.907,83.4
32,Group6_100Org,conf_04,5,294.599,139.698
32,Group6_100Org,conf_04,11,320.375,128.997
32,Group6_100Org,conf_04,13,267.773,83.448
32,Group6_100Org,conf_05,5,294.634,139.483
32,Group6_100Org,conf_05,11,320.41,128.918
32,Group6_100Org,conf_05,13,267.78,83.425
32,Group6_100Org,conf_06,5,295.124,131.508
32,Group6_100Org,conf_06,11,320.488,128.361
32,Group6_100Org,conf_06,13,267.913,83.44
32,Group6_100Org,conf_07,5,294.617,139.518
32,Group6_100Org,conf_07,11,320.374,128.972
32,Group6_100Org,conf_07,13,267.805,83.405
