Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_19,-1499.37079885,0.532128,0.01920901,296.085,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_20,-1499.37086640,0.489739,0.02063364,295.582,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_21,-1499.37127456,0.233615,0.03179187,294.781,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_22,-1499.37156591,0.050791,0.04328402,294.553,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_23,-1499.37159258,0.034055,0.04452408,294.677,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_24,-1499.37130390,0.215204,0.03279529,294.774,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_25,-1499.37128742,0.225546,0.03222785,294.596,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_27,-1499.37132998,0.198839,0.03371378,294.753,294.785926
22,32,F-3,[5],aromatic,Group6_100Org,32.7,conf_28,-1499.37119887,0.281111,0.02934277,294.791,294.785926
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_01,-1499.37176619,0.054317,0.04320572,320.092,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_02,-1499.37175218,0.063109,0.04256936,320.210,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_03,-1499.37173262,0.075383,0.04169656,320.496,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_04,-1499.37184812,0.002905,0.04712229,320.362,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_05,-1499.37185275,0.000000,0.04735393,320.401,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_06,-1499.37175429,0.061785,0.04266460,320.486,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_07,-1499.37175587,0.060793,0.04273606,320.361,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_08,-1499.37175463,0.061571,0.04267997,320.467,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_09,-1499.37098626,0.543730,0.01891468,321.160,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_10,-1499.37097119,0.553187,0.01861518,321.019,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_11,-1499.37175128,0.063673,0.04252880,320.485,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_12,-1499.37175923,0.058685,0.04288841,320.326,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_13,-1499.37175705,0.060053,0.04278950,320.433,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_14,-1499.37176060,0.057825,0.04295068,320.423,320.322975
22,32,F-5,[11],aromatic,Group1_100Aq,78.3,conf_15,-1499.37182065,0.020143,0.04577108,320.300,320.322975
