Molecule,Group,Conformer,Normal_Termination,Gibbs_Hartree,Imaginary_Freq
36,Group3_60-40,conf_06,TRUE,-1085.17478928,FALSE
36,Group3_60-40,conf_07,TRUE,-1085.17505944,FALSE
36,Group3_60-40,conf_08,TRUE,-1085.17375505,FALSE
36,Group3_60-40,conf_09,TRUE,-1085.17382672,FALSE
36,Group3_60-40,conf_10,TRUE,-1085.17382358,FALSE
36,Group3_60-40,conf_11,TRUE,-1085.17379167,FALSE
36,Group3_60-40,conf_12,TRUE,-1085.17365643,FALSE
36,Group3_60-40,conf_13,TRUE,-1085.17376408,FALSE
36,Group3_60-40,conf_14,TRUE,-1085.17388067,FALSE
36,Group3_60-40,conf_15,TRUE,-1085.17379896,FALSE
36,Group3_60-40,conf_16,TRUE,-1085.17383910,FALSE
36,Group3_60-40,conf_17,TRUE,-1085.17375583,FALSE
36,Group3_60-40,conf_18,TRUE,-1085.17373618,FALSE
36,Group3_60-40,conf_19,TRUE,-1085.17402386,FALSE
36,Group3_60-40,conf_20,TRUE,-1085.17408026,FALSE
36,Group3_60-40,conf_21,TRUE,-1085.17372720,FALSE
36,Group3_60-40,conf_22,TRUE,-1085.17389609,FALSE
36,Group3_60-40,conf_23,TRUE,-1085.17383965,FALSE
36,Group3_60-40,conf_24,TRUE,-1085.17373967,FALSE
36,Group3_60-40,conf_25,TRUE,-1085.17360754,FALSE
36,Group3_60-40,conf_26,TRUE,-1085.17490110,FALSE
36,Group3_60-40,conf_27,TRUE,-1085.17496328,FALSE
36,Group4_40-60,conf_01,TRUE,-1085.17510950,FALSE
36,Group4_40-60,conf_02,TRUE,-1085.17519278,FALSE
36,Group4_40-60,conf_03,TRUE,-1085.17382801,FALSE
36,Group4_40-60,conf_04,TRUE,-1085.17398065,FALSE
36,Group4_40-60,conf_05,TRUE,-1085.17396694,FALSE
36,Group4_40-60,conf_06,TRUE,-1085.17474177,FALSE
36,Group4_40-60,conf_07,TRUE,-1085.17501799,FALSE
36,Group4_40-60,conf_08,TRUE,-1085.17371368,FALSE
36,Group4_40-60,conf_09,TRUE,-1085.17378508,FALSE
36,Group4_40-60,conf_10,TRUE,-1085.17378188,FALSE
36,Group4_40-60,conf_11,TRUE,-1085.17375076,FALSE
36,Group4_40-60,conf_12,TRUE,-1085.17361569,FALSE
36,Group4_40-60,conf_13,TRUE,-1085.17378033,FALSE
36,Group4_40-60,conf_14,TRUE,-1085.17383839,FALSE
36,Group4_40-60,conf_15,TRUE,-1085.17375718,FALSE
36,Group4_40-60,conf_16,TRUE,-1085.17379749,FALSE
36,Group4_40-60,conf_17,TRUE,-1085.17371502,FALSE
36,Group4_40-60,conf_18,TRUE,-1085.17369634,FALSE
36,Group4_40-60,conf_19,TRUE,-1085.17398158,FALSE
36,Group4_40-60,conf_20,TRUE,-1085.17404056,FALSE
36,Group4_40-60,conf_21,TRUE,-1085.17368564,FALSE
